 1      XCONT     85    85    86    85    87    86    87
 2      XCONT     80    79    79    78    78    79    78
 3      XCONT     78    77    77    77    76    76    77
 4      XCONT     84    84    85    84    83    84    85
 5      XCONT     80    81    80    80    79    79    80
 6      XCONT     76    78    77    78    78    77    74
 7      XCONT     79    79    80    79    80    79    81
 8      XCONT     76    76    76    75    75    74    74
 9      XCONT     77    78    78    80    80    81    80
10      XCONT     79    79    79    79    77    78    79
11      XCONT     81    81    80    80    80    81    82
12      XCONT     77    76    77    78    77    77    77
13      XCONT     82    83    83    83    84    83    83
14      XCONT     84    84    83    82    81    79    78
15      XCONT     79    81    81    82    82    82    80
16      XCONT     79    79    78    77    77    78    78
17      XCONT     83    82    83    85    84    83    82
18      XCONT     78    78    79    79    78    77    77
19      XCONT     80    80    79    79    80    80    80
20      XCONT     78    79    80    81    80    79    80
21      RI        79    79    79    80    80    78    80
22      RI        83    83    85    85    86    87    87
23      RI        81    83    82    82    83    83    82
24      RI        81    81    81    82    82    83    81
25      RI        80    81    82    82    82    84    86
26      RI        76    76    76    76    76    76    75
27      RI        81    84    83    83    85    85    85
28      RI        77    78    79    79    81    82    81
29      RI        84    85    87    89    88    85    86
30      RI        74    75    78    78    79    78    78
31      RI        76    77    77    77    77    76    76
32      RI        84    84    86    85    86    86    86
33      RI        79    80    79    80    80    82    82
34      RI        78    78    77    76    75    75    76
35      RI        78    80    77    77    75    75    75
36      RI        84    85    85    85    85    83    82
37      WI        84    85    84    83    83    83    84
38      WI        74    75    75    76    75    76    76
39      WI        83    84    82    81    83    83    82
40      WI        86    87    87    87    87    87    86
41      WI        82    83    84    85    84    85    86
42      WI        79    80    79    79    80    79    80
43      WI        79    79    79    81    81    83    83
44      WI        87    89    91    90    91    92    92
45      WI        81    81    81    82    82    83    83
46      WI        82    82    82    84    86    85    87
47      WI        79    79    80    81    81    81    81
48      WI        79    80    81    82    83    82    82
49      WI        83    84    84    84    84    83    83
50      WI        81    81    82    84    83    82    85
51      WI        78    78    79    79    78    79    79
52      WI        83    82    82    84    84    83    84
53      WI        80    79    79    81    80    80    80
54      WI        80    82    82    82    81    81    81
55      WI        85    86    87    86    86    86    86
56      WI        77    78    80    81    82    82    82
57      WI        80    81    80    81    81    82    83










